Laptop,Color Choice,Graphics Card,Hard Drive,Memory,Operating System,Processor,Display,Keyboard,final price
m17-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),14700.12111
m17-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),15883.47111
m17-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),14936.79111
m17-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),16120.14111
m17-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),15489.02111
m17-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),16672.37111
m17-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),15725.69111
m17-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),16909.04111
m17-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),16672.37111
m17-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),17855.72111
m17-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),16909.04111
m17-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),18092.39111
m17-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),17461.27111
m17-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),18644.62111
m17-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),17697.94111
m17-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),18881.29111
m17-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),15725.69111
m17-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),16909.04111
m17-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),15962.36111
m17-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),17145.71111
m17-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),16514.59111
m17-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),17697.94111
m17-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),16751.26111
m17-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),17934.61111
m17-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),17697.94111
m17-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),18881.29111
m17-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),17934.61111
m17-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),19117.96111
m17-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),18486.84111
m17-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),19670.19111
m17-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),18723.51111
m17-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),19906.86111
m17-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),17619.05111
m17-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),17855.72111
m17-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),18407.95111
m17-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),18644.62111
m17-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),18644.62111
m17-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),18881.29111
m17-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),19433.52111
m17-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"17.3"" FHD (1920 x 1080) 360Hz 5ms 300-nits 100% sRGB color gamut with NVIDIA-GSYNC technology",Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),19670.19111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),13516.77111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),14700.12111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries per-key AlienFX RGB keyboard (Optional),13753.44111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries per-key AlienFX RGB keyboard (Optional),14936.79111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,14700.12111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,15883.47111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),14305.67111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),15489.02111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries per-key AlienFX RGB keyboard (Optional),14542.34111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries per-key AlienFX RGB keyboard (Optional),15725.69111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,15489.02111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,16672.37111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),15489.02111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),16672.37111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries per-key AlienFX RGB keyboard (Optional),15725.69111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries per-key AlienFX RGB keyboard (Optional),16909.04111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,16672.37111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,17855.72111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),16277.92111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),17461.27111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries per-key AlienFX RGB keyboard (Optional),16514.59111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries per-key AlienFX RGB keyboard (Optional),17697.94111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,17461.27111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,18644.62111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),14305.67111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),15489.02111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries per-key AlienFX RGB keyboard (Optional),14542.34111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries per-key AlienFX RGB keyboard (Optional),15725.69111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,15489.02111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,16672.37111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),15094.57111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),16277.92111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries per-key AlienFX RGB keyboard (Optional),15331.24111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries per-key AlienFX RGB keyboard (Optional),16514.59111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,16277.92111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,17461.27111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),16277.92111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),17461.27111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries per-key AlienFX RGB keyboard (Optional),16514.59111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries per-key AlienFX RGB keyboard (Optional),17697.94111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,17461.27111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,18644.62111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),17066.82111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),18250.17111
